name,x,y,z
DidactGothic.png,-36.71655595202871,-35.28814306899738,-20.34513984633027
Unna.png,-41.161007383207306,-9.389940187230906,-29.47349148629172
TitilliumWeb.png,-21.381858940680452,-37.72472393277866,-10.602200275087213
Caveat.png,-25.64525511664007,22.138573105268165,-18.87933684581885
NotoSans.png,-29.639292543596632,-41.56263653163268,-15.340246238995775
Quando.png,-26.65522543160315,-29.36354186666254,-24.096014239541514
Asul.png,-33.93757815232238,-25.537300373578024,-36.18966128721569
Romanesco.png,-27.136116414925112,18.25479575817765,-6.004246099152041
BowlbyOneSC.png,38.45145746310486,-20.08841743941409,-22.390315841767205
MergeOne.png,-14.842718206593588,-35.61929150940704,-0.06725073192480835
RubikOne.png,36.961843369397286,-23.201298545033733,-27.80904217985625
Nobile.png,-23.07288461617348,-42.410854583371616,-10.071614895351786
EncodeSansSemiCondensed.png,-32.83288325886884,-37.9344779169857,-17.349095207079216
Sancreek.png,-12.44053782773473,-11.75923221304378,-48.6610080658506
KottaOne.png,-24.76984436814547,-12.95131887293713,-29.979091321642205
Plaster.png,50.0,0.15152390829769047,-20.153651794846322
EBGaramond.png,-40.82426143022448,-8.383154838733084,-41.03360759899543
Iceland.png,8.058282228020317,7.126670966340775,8.792094831430909
SupermercadoOne.png,5.660429210847205,20.083404729966276,-9.319799571603163
RougeScript.png,-35.06042040775833,13.297245438588092,-4.497124781756995
AveriaLibre.png,-19.88366645906955,-44.21247984287458,-24.551856194687822
SourceSansPro.png,-31.843608556606178,-38.02707552460179,-27.554770012636872
Overpass.png,-29.845931799006177,-35.92917993481428,-27.098097127515246
Telex.png,-23.54042556560107,-46.34114094594286,-17.071222058664638
EncodeSansSemiExpanded.png,-23.791640005054308,-39.7859485899539,1.610668730257622
Lekton.png,-34.505395692966836,-19.88530635853919,-26.617890693857017
Jaldi.png,-25.074082657574163,-45.57077467205073,-16.538520239341423
SquadaOne.png,12.361368937435827,-6.399690069069379,-43.693152125974635
Rubik.png,-13.220370119624612,-47.284359587751766,-1.4484416055890819
GemunuLibre.png,-17.36158837606458,-37.30523441281032,-13.974521083240866
Monoton.png,-10.046700942016493,-2.5140680780886484,-12.288872356938768
HindJalandhar.png,-21.337941401976735,-47.09169921607912,-10.739345773765017
EmblemaOne.png,12.73113011795138,-2.857746704492939,-31.9252003726403
Combo.png,-17.679415892536532,-19.027088922374897,-21.7266066913822
Muli.png,-22.0307683632372,-39.818393828887075,8.65223796582275
Martel.png,-38.8916992312947,-30.84491298603955,-28.418796839546093
BungeeShade.png,-18.040017728138015,17.573627372511694,-5.88742784316392
Rosarivo.png,-43.3035277878444,-18.46025955845052,-27.328663685745536
BalooThambi.png,32.1497634180201,-29.526177173831144,-30.081775469667406
BioRhymeExpanded.png,-39.34556542805481,1.097447046747476,-2.8843874558985263
MacondoSwashCaps.png,-29.74254675906741,17.46595922709119,-1.3183922573050708
ArefRuqaa.png,-35.7170287190649,-16.11599220537014,-17.42298186003447
Varta.png,-32.07346136188651,-37.59062979304579,-27.391505311460467
Karla.png,-26.385109769891788,-41.730672219364834,-22.698596584931973
Rosario.png,-34.4328481129116,-31.62586076745805,-34.3936118022997
Shrikhand.png,13.668230079587751,7.082933570245032,-22.30678238089048
Raleway.png,-33.94851134769648,-34.49540972000095,-0.6219852526834657
Sahitya.png,-37.65247517076729,-16.660488904602182,-43.204309080119856
Aubrey.png,-19.6597995450108,-8.664445871420135,-34.901239770777366
Marvel.png,-35.26370278867963,-3.629924822247716,-29.63515988359841
Alice.png,-33.6016361652632,-20.17732107360516,-34.652151770472045
Forum.png,-46.15491495669389,-0.48870390802314034,-30.367246034020624
AnticDidone.png,-47.90871511480237,-9.660112229773496,-18.16492536575907
KoPubBatang.png,-40.79645261610141,-8.963289628524365,-44.367152265883384
CormorantGaramond.png,-46.644288020835894,-3.945385248011654,-11.859932567125526
Qwigley.png,-39.36600842544364,17.41082116986641,0.26969072719058573
Lancelot.png,-40.9569176857586,-13.707832297211532,-39.6203606405059
AmaticaSC.png,-44.19464310028684,14.796781161046681,-4.4468893477907585
Pridi.png,-18.153264466503146,-38.53896603110061,-38.01824009425657
NanumMyeongjo.png,-49.2374484749753,-3.6208842081221846,-32.040694168634644
PasseroOne.png,-0.7327559510247355,-31.85645287462876,-36.19437023749059
Skranji.png,5.622519655039518,-36.21866005368738,-25.008016873849456
AveriaGruesaLibre.png,-15.343577646532061,-37.21211008615454,-24.04046571603861
NTR.png,-15.17976194667704,-46.772539821007676,2.992754201663992
MarkoOne.png,9.402850586711743,-3.7109986174676806,-24.1284320175294
Numans.png,-19.48950701002029,-47.0630352742701,-0.5745597637238831
Cagliostro.png,-20.85612264060271,-10.656960876103057,10.16370226085521
NotoSerif.png,-36.413974137095536,-31.253471659625248,-32.8065648043894
Gurajada.png,2.709951867159347,-43.26736275920826,-24.110696714363144
Dhyana.png,-25.184457008208348,-42.11329704477989,-9.837751048354704
Palanquin.png,-32.266530437746425,-41.368119044987964,-13.687314894382943
Gabriela.png,-26.499387291721042,-29.304157129099227,-33.96941580276979
Underdog.png,-35.97805290711248,-25.768587351819654,-38.939140824369545
Junge.png,-43.11276001410002,-12.241849579579153,-11.387939782982102
Alegreya.png,-37.77582304495663,-16.600218618962245,-43.16950469931288
AlmendraSC.png,-14.841135585177447,1.7252572179516719,-36.82806254059163
Rambla.png,-22.723501904854505,-40.59747766816358,-30.69406914467345
Clara.png,-12.747613672383615,9.108137162500263,-11.638769233420142
ConcertOne.png,7.335687251856058,-32.71084835965682,-39.65078030716337
